epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
5,1197.09,0.14355,0.9625,1,0.04023,0.00155698,0.00155698,0.00155698
1,405.592,0.49066,0.95,1,0.1296,0.00055011,0.00055011,0.00055011
6,1551.07,0.2586,1,1,0.05385,0.00152947,0.00152947,0.00152947
2,704.411,0.25834,0.9625,1,0.15266,0.00108753,0.00108753,0.00108753
7,1820.91,0.15708,0.9875,1,0.02832,0.00150197,0.00150197,0.00150197
3,984.363,0.34603,0.95,1,0.1281,0.00160662,0.00160662,0.00160662
8,2090.71,0.1339,1,1,0.02364,0.00147446,0.00147446,0.00147446
4,1248.95,0.23515,0.975,1,0.05502,0.00158448,0.00158448,0.00158448
9,2392.99,0.07494,0.975,1,0.04592,0.00144696,0.00144696,0.00144696
5,1554.58,0.14355,0.9625,1,0.04023,0.00155698,0.00155698,0.00155698
10,2672.51,0.06702,1,1,0.01819,0.00141945,0.00141945,0.00141945
6,1833.84,0.2586,1,1,0.05385,0.00152947,0.00152947,0.00152947
11,2938.02,0.1592,1,1,0.01353,0.00139195,0.00139195,0.00139195
7,2082.79,0.15708,0.9875,1,0.02832,0.00150197,0.00150197,0.00150197
12,3190.63,0.11632,0.9625,1,0.09458,0.00136444,0.00136444,0.00136444
8,2337.33,0.1339,1,1,0.02364,0.00147446,0.00147446,0.00147446
13,3456.29,0.0964,1,1,0.01192,0.00133693,0.00133693,0.00133693
9,2616.76,0.07494,0.975,1,0.04592,0.00144696,0.00144696,0.00144696
14,3736.41,0.04606,0.9875,1,0.02863,0.00130943,0.00130943,0.00130943
10,2894.87,0.06702,1,1,0.01819,0.00141945,0.00141945,0.00141945
15,4006.28,0.0693,1,1,0.01385,0.00128192,0.00128192,0.00128192
11,3177.54,0.1592,1,1,0.01353,0.00139195,0.00139195,0.00139195
16,4287.48,0.09485,1,1,0.01209,0.00125442,0.00125442,0.00125442
12,3450.54,0.11632,0.9625,1,0.09458,0.00136444,0.00136444,0.00136444
17,4557.63,0.06242,1,1,0.00727,0.00122691,0.00122691,0.00122691
13,3725.47,0.0964,1,1,0.01192,0.00133693,0.00133693,0.00133693
18,4832.01,0.06263,0.9625,1,0.05638,0.00119941,0.00119941,0.00119941
14,3996.05,0.04606,0.9875,1,0.02863,0.00130943,0.00130943,0.00130943
19,5101.15,0.05488,0.9875,1,0.02929,0.0011719,0.0011719,0.0011719
15,4260.78,0.0693,1,1,0.01385,0.00128192,0.00128192,0.00128192
20,5360.04,0.07196,1,1,0.01105,0.0011444,0.0011444,0.0011444
16,4524.33,0.09485,1,1,0.01209,0.00125442,0.00125442,0.00125442
21,5617.93,0.12808,0.9875,1,0.0271,0.00111689,0.00111689,0.00111689
17,4791.75,0.06242,1,1,0.00727,0.00122691,0.00122691,0.00122691
22,5888.86,0.02124,0.9875,1,0.02557,0.00108938,0.00108938,0.00108938
18,5063.1,0.06263,0.9625,1,0.05638,0.00119941,0.00119941,0.00119941
23,6154.91,0.02845,1,1,0.00213,0.00106188,0.00106188,0.00106188
19,5322.3,0.05488,0.9875,1,0.02929,0.0011719,0.0011719,0.0011719
24,6403.71,0.02644,1,1,0.00468,0.00103437,0.00103437,0.00103437
20,5569.86,0.07196,1,1,0.01105,0.0011444,0.0011444,0.0011444
25,6646.6,0.03051,1,1,0.00975,0.00100687,0.00100687,0.00100687
21,5814.61,0.12808,0.9875,1,0.0271,0.00111689,0.00111689,0.00111689
26,6885.99,0.03284,1,1,0.00688,0.000979362,0.000979362,0.000979362
22,6054.42,0.02124,0.9875,1,0.02557,0.00108938,0.00108938,0.00108938
27,7125.07,0.01009,1,1,0.00422,0.000951857,0.000951857,0.000951857
23,6295.69,0.02845,1,1,0.00213,0.00106188,0.00106188,0.00106188
28,7367.29,0.03793,1,1,0.01232,0.000924352,0.000924352,0.000924352
24,6547.54,0.02644,1,1,0.00468,0.00103437,0.00103437,0.00103437
29,7623.98,0.01056,1,1,0.00455,0.000896846,0.000896846,0.000896846
25,6817.69,0.03051,1,1,0.00975,0.00100687,0.00100687,0.00100687
30,7875.01,0.02883,1,1,0.01348,0.00086934,0.00086934,0.00086934
26,7063.73,0.03284,1,1,0.00688,0.000979362,0.000979362,0.000979362
31,8120.34,0.06009,1,1,0.0045,0.000841835,0.000841835,0.000841835
27,7305.05,0.01009,1,1,0.00422,0.000951857,0.000951857,0.000951857
32,8362.64,0.02441,1,1,0.00931,0.000814329,0.000814329,0.000814329
28,7546.97,0.03793,1,1,0.01232,0.000924352,0.000924352,0.000924352
33,8603.68,0.04177,1,1,0.00671,0.000786824,0.000786824,0.000786824
29,7793.7,0.01056,1,1,0.00455,0.000896846,0.000896846,0.000896846
34,8844.26,0.01292,1,1,0.0156,0.000759318,0.000759318,0.000759318
30,8039.6,0.02883,1,1,0.01348,0.00086934,0.00086934,0.00086934
35,9096.02,0.0203,1,1,0.00683,0.000731813,0.000731813,0.000731813
31,8300.43,0.06009,1,1,0.0045,0.000841835,0.000841835,0.000841835
36,9346.54,0.01098,1,1,0.00632,0.000704307,0.000704307,0.000704307
32,8541.77,0.02441,1,1,0.00931,0.000814329,0.000814329,0.000814329
37,9604.19,0.01183,1,1,0.01237,0.000676802,0.000676802,0.000676802
33,8823.27,0.04177,1,1,0.00671,0.000786824,0.000786824,0.000786824
38,9878.21,0.02299,1,1,0.00553,0.000649297,0.000649297,0.000649297
34,9173.45,0.01292,1,1,0.0156,0.000759318,0.000759318,0.000759318
39,10250.1,0.02255,1,1,0.00462,0.000621791,0.000621791,0.000621791
35,9461.77,0.0203,1,1,0.00683,0.000731813,0.000731813,0.000731813
40,10530.4,0.01482,1,1,0.00434,0.000594286,0.000594286,0.000594286
36,9739.76,0.01098,1,1,0.00632,0.000704307,0.000704307,0.000704307
41,10795.1,0.00522,1,1,0.00266,0.00056678,0.00056678,0.00056678
37,10011.6,0.01183,1,1,0.01237,0.000676802,0.000676802,0.000676802
42,11068.5,0.01867,1,1,0.00283,0.000539275,0.000539275,0.000539275
38,10287.6,0.02299,1,1,0.00553,0.000649297,0.000649297,0.000649297
43,11343.8,0.00892,1,1,0.00233,0.000511769,0.000511769,0.000511769
39,10557.1,0.02255,1,1,0.00462,0.000621791,0.000621791,0.000621791
44,11609.5,0.01255,1,1,0.00237,0.000484263,0.000484263,0.000484263
40,10824.9,0.01482,1,1,0.00434,0.000594286,0.000594286,0.000594286
45,11876.7,0.00863,1,1,0.00245,0.000456758,0.000456758,0.000456758
41,11094.2,0.00522,1,1,0.00266,0.00056678,0.00056678,0.00056678
46,12148.9,0.00494,1,1,0.00211,0.000429253,0.000429253,0.000429253
42,11373,0.01867,1,1,0.00283,0.000539275,0.000539275,0.000539275
47,12413.3,0.00355,1,1,0.00217,0.000401747,0.000401747,0.000401747
43,11634.7,0.00892,1,1,0.00233,0.000511769,0.000511769,0.000511769
48,12667.7,0.00194,1,1,0.0008,0.000374242,0.000374242,0.000374242
44,11890.1,0.01255,1,1,0.00237,0.000484263,0.000484263,0.000484263
49,12914.2,0.0018,1,1,0.00121,0.000346736,0.000346736,0.000346736
45,12155.7,0.00863,1,1,0.00245,0.000456758,0.000456758,0.000456758
50,13174.8,0.00475,1,1,0.001,0.000319231,0.000319231,0.000319231
46,12413.6,0.00494,1,1,0.00211,0.000429253,0.000429253,0.000429253
51,13436.7,0.0014,1,1,0.00032,0.000291725,0.000291725,0.000291725
47,12680.6,0.00355,1,1,0.00217,0.000401747,0.000401747,0.000401747
52,13698.8,0.00208,1,1,0.00065,0.00026422,0.00026422,0.00026422
48,12945.5,0.00194,1,1,0.0008,0.000374242,0.000374242,0.000374242
53,13960.3,0.00323,1,1,0.00124,0.000236714,0.000236714,0.000236714
49,13210.9,0.0018,1,1,0.00121,0.000346736,0.000346736,0.000346736
54,14220,0.00285,1,1,0.00114,0.000209209,0.000209209,0.000209209
50,13474.9,0.00475,1,1,0.001,0.000319231,0.000319231,0.000319231
55,14474.1,0.00299,1,1,0.0007,0.000181703,0.000181703,0.000181703
51,13766,0.0014,1,1,0.00032,0.000291725,0.000291725,0.000291725
56,14763,0.003,1,1,0.0005,0.000154198,0.000154198,0.000154198
52,14021.2,0.00208,1,1,0.00065,0.00026422,0.00026422,0.00026422
57,15015.5,0.00257,1,1,0.00053,0.000126692,0.000126692,0.000126692
53,14276,0.00323,1,1,0.00124,0.000236714,0.000236714,0.000236714
58,15266.8,0.00114,1,1,0.00052,9.91865e-05,9.91865e-05,9.91865e-05
54,14541.9,0.00285,1,1,0.00114,0.000209209,0.000209209,0.000209209
59,15536.6,0.00096,1,1,0.00108,7.1681e-05,7.1681e-05,7.1681e-05
55,14788.5,0.00299,1,1,0.0007,0.000181703,0.000181703,0.000181703
60,15780.5,0.00101,1,1,0.00068,4.41755e-05,4.41755e-05,4.41755e-05
