epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,143.189,0.52701,0.9375,1,0.2267,0.00055011,0.00055011,0.00055011
2,251.995,0.30419,0.9,1,0.76029,0.00108753,0.00108753,0.00108753
3,368.265,0.3765,0.9375,1,0.25611,0.00160662,0.00160662,0.00160662
4,473.386,0.27604,0.95,1,0.07579,0.00158448,0.00158448,0.00158448
5,576.084,0.21529,0.9375,1,0.09313,0.00155698,0.00155698,0.00155698
6,681.425,0.35525,0.95,1,0.17937,0.00152947,0.00152947,0.00152947
7,788.111,0.19555,0.975,1,0.11573,0.00150197,0.00150197,0.00150197
8,888.066,0.23221,0.9375,1,0.14217,0.00147446,0.00147446,0.00147446
9,988.174,0.1449,0.925,1,0.21979,0.00144696,0.00144696,0.00144696
10,1085.92,0.1703,0.95,1,0.09082,0.00141945,0.00141945,0.00141945
11,1209.75,0.17748,0.9875,1,0.04746,0.00139195,0.00139195,0.00139195
12,1322.84,0.15539,0.9625,1,0.13645,0.00136444,0.00136444,0.00136444
13,1429.32,0.08094,0.9875,1,0.0368,0.00133693,0.00133693,0.00133693
14,1536.98,0.09799,0.975,1,0.07161,0.00130943,0.00130943,0.00130943
15,1639.11,0.11056,0.9625,1,0.12612,0.00128192,0.00128192,0.00128192
16,1735.98,0.19954,0.9875,1,0.06061,0.00125442,0.00125442,0.00125442
17,1835.81,0.11042,0.975,1,0.13353,0.00122691,0.00122691,0.00122691
18,1943,0.0907,0.95,1,0.1333,0.00119941,0.00119941,0.00119941
19,2057.06,0.14752,1,1,0.00765,0.0011719,0.0011719,0.0011719
20,2172.49,0.13768,0.9625,1,0.135,0.0011444,0.0011444,0.0011444
21,2282.12,0.10903,1,1,0.01451,0.00111689,0.00111689,0.00111689
22,2383.21,0.04584,0.95,1,0.05607,0.00108938,0.00108938,0.00108938
23,2488.85,0.04008,0.975,1,0.06183,0.00106188,0.00106188,0.00106188
24,2594.48,0.04161,0.9875,1,0.02298,0.00103437,0.00103437,0.00103437
25,2702.2,0.05519,0.975,1,0.05483,0.00100687,0.00100687,0.00100687
26,2803.86,0.08414,0.9875,1,0.02348,0.000979362,0.000979362,0.000979362
27,2913.16,0.07634,0.9625,1,0.06223,0.000951857,0.000951857,0.000951857
28,3010.58,0.04146,0.975,1,0.07766,0.000924352,0.000924352,0.000924352
29,3114.43,0.02305,0.9875,1,0.03296,0.000896846,0.000896846,0.000896846
30,3225.44,0.0368,0.9625,1,0.08267,0.00086934,0.00086934,0.00086934
31,3329.76,0.0474,0.975,1,0.03926,0.000841835,0.000841835,0.000841835
32,3430.97,0.05621,0.9875,1,0.03764,0.000814329,0.000814329,0.000814329
33,3531.79,0.03207,0.9875,1,0.03243,0.000786824,0.000786824,0.000786824
34,3636.96,0.04206,0.975,1,0.02636,0.000759318,0.000759318,0.000759318
35,3744.62,0.02858,0.9625,1,0.08478,0.000731813,0.000731813,0.000731813
36,3851.57,0.03088,1,1,0.01562,0.000704307,0.000704307,0.000704307
37,3958.24,0.02918,0.975,1,0.03216,0.000676802,0.000676802,0.000676802
38,4060.36,0.02885,1,1,0.011,0.000649297,0.000649297,0.000649297
39,4163.24,0.02382,1,1,0.022,0.000621791,0.000621791,0.000621791
40,4269.2,0.01135,1,1,0.00766,0.000594286,0.000594286,0.000594286
41,4372.45,0.01777,1,1,0.0069,0.00056678,0.00056678,0.00056678
42,4471.8,0.01055,1,1,0.00889,0.000539275,0.000539275,0.000539275
43,4569.51,0.01005,0.9875,1,0.02495,0.000511769,0.000511769,0.000511769
44,4676.26,0.01352,0.975,1,0.02953,0.000484263,0.000484263,0.000484263
45,4776.2,0.0091,1,1,0.00794,0.000456758,0.000456758,0.000456758
46,4879.08,0.01005,1,1,0.00606,0.000429253,0.000429253,0.000429253
47,4974.97,0.00723,1,1,0.00752,0.000401747,0.000401747,0.000401747
48,5074.33,0.00493,1,1,0.00642,0.000374242,0.000374242,0.000374242
49,5174.31,0.00378,1,1,0.00885,0.000346736,0.000346736,0.000346736
50,5269.81,0.00593,1,1,0.00873,0.000319231,0.000319231,0.000319231
51,5366.85,0.00291,1,1,0.0089,0.000291725,0.000291725,0.000291725
52,5463.78,0.00599,1,1,0.01814,0.00026422,0.00026422,0.00026422
53,5559,0.01347,1,1,0.01813,0.000236714,0.000236714,0.000236714
54,5656.06,0.00398,1,1,0.00919,0.000209209,0.000209209,0.000209209
55,5756.75,0.00471,1,1,0.00972,0.000181703,0.000181703,0.000181703
56,5856.11,0.00367,1,1,0.01736,0.000154198,0.000154198,0.000154198
57,5951.54,0.00291,1,1,0.01639,0.000126692,0.000126692,0.000126692
58,6052.87,0.00838,0.9875,1,0.02172,9.91865e-05,9.91865e-05,9.91865e-05
59,6152.85,0.00319,1,1,0.01327,7.1681e-05,7.1681e-05,7.1681e-05
60,6253.98,0.002,1,1,0.01809,4.41755e-05,4.41755e-05,4.41755e-05
